(0,0,-1)  (1,5,-1)  (3,6,-1)  (2,1,-1)  (4,7,0)   (4,7,1)   (4,7,2)   (4,7,3)   (4,7,4)   (4,7,5)   (4,7,6)   (0,0,-1)
(0,0,-1)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (0,0,-1)
(0,0,-1)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (0,0,-1)
(0,0,-1)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (0,0,-1)
(0,0,-1)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (0,0,-1)
(0,0,-1)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (0,0,-1)
(0,0,-1)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (0,0,-1)
(0,0,-1)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (0,0,-1)
(0,0,-1)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (0,0,-1)
(0,0,-1)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (0,0,-1)
(0,0,-1)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (0,0,-1)
(0,0,-1)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (-1,0,0)  (0,0,-1)
